index,packaged_file,original_filename,width,height,original_sha256,original_bytes
1,mockups/001__a_clean_app_design_mockup_screenshot_style_image.webp,a_clean_app_design_mockup_screenshot_style_image.png,1536,1024,5a826a82fe36965667b0f4e99eda7d344508a5b68ed033ac6046824836a85502,1490111
2,mockups/002__a_clean_flat_product_mockup_image_showing_a_ui_ux.webp,a_clean_flat_product_mockup_image_showing_a_ui_ux.png,1536,1024,88dd66b465caf0753f8bdb9b1a89408a85b394674856be0fb4aa3f9ec301b786,1820916
3,mockups/003__a_clean_high_detail_product_design_ux_analysis.webp,a_clean_high_detail_product_design_ux_analysis.png,1536,1024,898d93f18bec2565b917fe8009cca3ee5861af3f5965efd48dbef1ae50b5de83,1746685
4,mockups/004__a_clean_high_detail_ui_design_mockup_presentati.webp,a_clean_high_detail_ui_design_mockup_presentati.png,1536,1024,6c5744f1df7120c4700d434cb1764c27a779091172243536d070eac7581a2a25,2194895
5,mockups/005__a_clean_high_detail_ui_ux_concept_poster_board_fo.webp,a_clean_high_detail_ui_ux_concept_poster_board_fo.png,1024,1536,ad606bf50c6a6a6830ce339412c75196e133274956d3ffc9633eb7f97260e472,1974732
6,mockups/006__a_clean_high_fidelity_ui_design_concept_mockup.webp,a_clean_high_fidelity_ui_design_concept_mockup.png,1536,1024,09c9fa81268a5b11d0ad252a685226c219edc421bb35bd267ea228e174cd2663,2095673
7,mockups/007__a_clean_high_fidelity_ui_ux_concept_board_mocku.webp,a_clean_high_fidelity_ui_ux_concept_board_mocku.png,1536,1024,ea498e57fe0358a1b9945103cd0a18488188d52629210f49a4df689b1debb803,2193377
8,mockups/008__a_clean_high_fidelity_ui_ux_mockup_image_no_real.webp,a_clean_high_fidelity_ui_ux_mockup_image_no_real.png,1024,1536,44fffbf5e3de13bb242d595b2d90290090292541f63b3d58e2e35126d94d15a9,1862972
9,mockups/009__a_clean_high_fidelity_ui_ux_mockup_image_of_a_mob.webp,a_clean_high_fidelity_ui_ux_mockup_image_of_a_mob.png,1024,1536,6cb659fcb14f5f75100c9d403a497e5b29445345c59453eea28ab3cdee66821f,1983977
10,mockups/010__a_clean_high_fidelity_ui_ux_mockup_presentation.webp,a_clean_high_fidelity_ui_ux_mockup_presentation.png,1402,1122,0ec19e0db81776db994da4782488173102e94e695000223a7cb6eb9a7b309920,2085522
11,mockups/011__a_clean_high_resolution_product_design_ux_strat.webp,a_clean_high_resolution_product_design_ux_strat.png,1536,1024,ce8ad4c502f1a8685ab1d822232ce7fa3e167685227cf55ae2b72df1f2403aae,1655352
12,mockups/012__a_clean_high_resolution_ui_design_mockup_app_da.webp,a_clean_high_resolution_ui_design_mockup_app_da.png,1536,1024,9ac1f6a9ece2f0cad2861908e8211133e5d43e53ef75f15e0309582a9a7fcc36,1799313
13,mockups/013__a_clean_high_resolution_ui_design_mockup_collage.webp,a_clean_high_resolution_ui_design_mockup_collage.png,1624,968,55f2f6aae757e48403ca6de72bfde2c56915c6e13f0cd214dd93f954ed0bb343,1764098
14,mockups/014__a_clean_high_resolution_ui_ux_design_presentation.webp,a_clean_high_resolution_ui_ux_design_presentation.png,1536,1024,13d8820afc604797f08413160bada1ba1b532770fb76f3ba211d46b66a9307f4,1606444
15,mockups/015__a_clean_high_resolution_ux_ui_design_mockup_board.webp,a_clean_high_resolution_ux_ui_design_mockup_board.png,1536,1024,097326a5f8afa3c59ab73d0a442400d8633f5aa3ab8aac90b4429e1aa70d33aa,1926080
16,mockups/016__a_clean_modern_ui_app_design_mockup_image_overa.webp,a_clean_modern_ui_app_design_mockup_image_overa.png,1536,1024,759bc4287f1518a4a7ffd49f94057888c550dbf610edfd1877171a46ba9627f4,1677529
17,mockups/017__a_clean_modern_ui_ux_concept_mockup_image_in_a_tr.webp,a_clean_modern_ui_ux_concept_mockup_image_in_a_tr.png,1536,1024,0a53efbcb193a66c3e414e2b10045363d3978db79e0a596d2bd7c2b10e374bfe,1886677
18,mockups/018__a_clean_modern_ui_ux_design_presentation_mockup_i.webp,a_clean_modern_ui_ux_design_presentation_mockup_i.png,1402,1122,14e32d22ef5a957abe5a20b0d3293138cf706233b4d5c2d85c7a68615235c386,2330761
19,mockups/019__a_clean_modern_ui_ux_mockup_collage_of_the_waypoi.webp,a_clean_modern_ui_ux_mockup_collage_of_the_waypoi.png,1536,1024,407e766be0f4d98ff22050c1065053bc27c4b9a0884f638091f69ef2d240e74c,1864891
20,mockups/020__a_clean_modern_ui_ux_mockup_composite_image_of_a.webp,a_clean_modern_ui_ux_mockup_composite_image_of_a.png,1536,1024,0b58c08748abd85681487ffb6eedcaf549eb8d4ce3b81c33200a1b32b2581c81,1820765
21,mockups/021__a_clean_product_design_presentation_mockup_collage.webp,a_clean_product_design_presentation_mockup_collage.png,1536,1024,e11be58d422ae8189c6513fb55691c3061eaca15362c4941d23ae35ba2ac867d,1735681
22,mockups/022__a_clean_product_design_style_presentation_ui_con.webp,a_clean_product_design_style_presentation_ui_con.png,1536,1024,1311b554e6d4fa7447f5f11e8df6ab5b667c2a036c2343a05371637fdcba54bc,2067214
23,mockups/023__a_clean_product_design_ux_strategy_board_mockup_fo.webp,a_clean_product_design_ux_strategy_board_mockup_fo.png,1024,1536,0d5df60ca343cf0f0aae3ca42f7ff8120bc4dabc47a698349334a84272dd9463,1718338
24,mockups/024__a_clean_product_ux_presentation_slide_or_roadmap_l.webp,a_clean_product_ux_presentation_slide_or_roadmap_l.png,1536,1024,2862511126615ecb69b2d8d1de204b5226447dc8ce7ef59eb209ce79bdb0e8c7,1651527
25,mockups/025__a_clean_product_ux_roadmap_slide_or_dashboard_mock.webp,a_clean_product_ux_roadmap_slide_or_dashboard_mock.png,1536,1024,e28d1a8d1ddfcfdc5575e13a1f8049d9e7ca5e23b6b4e8dcd37270d28f8d6f24,1694215
26,mockups/026__a_clean_ui_design_board_presentation_mockup_imag.webp,a_clean_ui_design_board_presentation_mockup_imag.png,1536,1024,792700c5f9af4ace34a10f2e2f05ccd923eb2aaa6c11a8d5952d5bb1f8b6afea,1594415
27,mockups/027__a_clean_ui_design_mockup_app_dashboard_screensho.webp,a_clean_ui_design_mockup_app_dashboard_screensho.png,1536,1024,29209d79b4755c263e4b3547fd466ee451a2228251d1d14802fbb4337d2929e2,1803244
28,mockups/028__a_clean_ui_design_mockup_collage_screenshot_sheet.webp,a_clean_ui_design_mockup_collage_screenshot_sheet.png,1624,969,de5415d8c2fa64a45edcffa7b66e2d2fbbc522e4a0689e58317250e22343b6d9,1796847
29,mockups/029__a_clean_ui_design_mockup_screenshot_graphic_showin.webp,a_clean_ui_design_mockup_screenshot_graphic_showin.png,1149,1369,3fc199065e4aa5a9669c1d1cd0e98a05f3f958031305e78d48eae80b2e38e6af,1738092
